Price,Description,Location,Area,No_rooms,No_bathrooms,City,Category,Price/m2
45487,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,70.0,1,1,Durrës,Sale,649.8142857142857
22724,"EXCLUSIVE! FOR SALE 1+1 GAS HOUSE WITH YARD IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,27.0,1,1,Durrës,Sale,841.6296296296297
300,2+1 APARTMENT FOR RENT IN THE CENTER OF DURRES!!,,97.0,2,1,Durrës,Rent,3.0927835051546393
115000,Apartment for sale 2+1+2 in the fresh area near the Institute of Nuclear Physics!,Rruga Shefqet Kuka,99.0,2,2,Tirana,Sale,1161.6161616161617
35000,1+1 APARTMENT FOR SALE IN KAVAJE!!,,78.0,1,1,Kavajë,Sale,448.71794871794873
320,"APARTMENT 3+1+2 FOR RENT, IN PLEPA !!",Plepa,140.0,3,2,Durrës,Rent,2.2857142857142856
69500,APARTMENT FOR SALE 2+1+2 IN POPLAR!,,102.0,2,2,Durrës,Sale,681.3725490196078
45552,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",GOLEM,70.0,1,1,Durrës,Sale,650.7428571428571
57000,APARTMENT FOR SALE 1+1+70 M2 VERANDE IN ISH URT!,Ish URT,86.0,1,1,Durrës,Sale,662.7906976744187
269000,APARTMENT FOR SALE 3+1 + PARKING POST RESIDENCE TURDIU!!,,135.0,3,2,Tirana,Sale,1992.5925925925926
151855,"APARTMENT FOR SALE 2+1, NEW BULEVARDI","Rruga ""Dine Hoxha""",123.0,2,2,Tirana,Sale,1234.5934959349593
147665,"APARTMENT FOR SALE 2+1, NEW BULEVARDI","Rruga ""Dine Hoxha""",119.0,2,2,Tirana,Sale,1240.8823529411766
124201,"APARTMENT FOR SALE 1+1 NEAR TURQUOISE MARINA, LALEZ BAY","Turquoise Marina, Hamallaj",70.0,1,1,Durrës,Sale,1774.3
86000,"1+1 APARTMENT FOR SALE IN THE AURA COMPLEX, ON DRITAN HOXHA STREET!","Kompleski Aura, Laprake",72.0,1,1,Tirana,Sale,1194.4444444444443
127000,"FOR SALE, APARTMENT 2 + 1 IN ASTIR!",Astir,123.0,2,2,Tirana,Sale,1032.520325203252
250,1+1 APARTMENT FOR RENT IN MALI ROBIT!,,65.0,1,1,Durrës,Rent,3.8461538461538463
250,1+1 APARTMENT FOR RENT IN HEKURUDHA BEACH!,,65.0,1,1,Durrës,Rent,3.8461538461538463
127000,"2+1 apartment for sale, Former Aviation Field, Tirana!",,105.0,2,1,Tirana,Sale,1209.5238095238096
145000,SHESIM APARTAMENT 2+1 PRANE KODRES SE DIELLIT!,Rr. Bill Klinton,96.0,2,1,Tirana,Sale,1510.4166666666667
193500,APARTMENT FOR SALE 2+1+2 NEAR ISH UET!!!!!!,,108.0,2,2,Tirana,Sale,1791.6666666666667
800,2+1 APARTMENT FOR RENT NEAR THE LAKE,Kompleksi FZ Construction,102.0,2,2,Tirana,Rent,7.8431372549019605
600,"APARTMENT FOR RENT 2+1+2, NEAR PAVAROTI!",,125.0,2,2,Tirana,Rent,4.8
115000,"SUPER APARTMENT FOR SALE 3+1+2 TOILETS, NEAR THE POLICE HEADQUARTERS!",Drejtoria e Policise,120.0,3,2,Durrës,Sale,958.3333333333334
66000,1+1 APARTMENT FOR SALE AT THE END OF NEW BOULEVARD,,66.0,1,1,Tirana,Sale,1000.0
86000,1+1 APARTMENT FOR SALE AT THE END OF NEW BOULEVARD,,86.0,1,1,Tirana,Sale,1000.0
118000,2+1 APARTMENT FOR SALE AT THE END OF NEW BOULEVARD,,118.0,2,2,Tirana,Sale,1000.0
81000,1+1 APARTMENT FOR SALE AT THE END OF NEW BOULEVARD,,81.0,1,1,Tirana,Sale,1000.0
107000,1+1 APARTMENT FOR SALE AT THE END OF NEW BOULEVARD,,107.0,2,2,Tirana,Sale,1000.0
98000,1+1 APARTMENT FOR SALE AT THE END OF NEW BOULEVARD,,98.0,2,2,Tirana,Sale,1000.0
80800,1+1 APARTMENT FOR SALE AT THE END OF NEW BOULEVARD!,,81.0,1,1,Tirana,Sale,997.5308641975308
450,APARTMENT FOR RENT 3+1 VENUE CLUB,,261.0,3,1,Tirana,Rent,1.7241379310344827
450,APARTMENT FOR RENT OF A 5-STOREY VILLA NEAR VENUE CLUB,,261.0,3,1,Tirana,Rent,1.7241379310344827
215000,SUPER APARTMENT 2+1 WITH VERANDA FOR SALE IN SKANDERBEJ SQUARE!,,90.0,2,1,Tirana,Sale,2388.8888888888887
190000,"MINISTRY OF EDUCATION, SUPER APARTMENT 3+1!",Ministria e Arsimi,104.0,3,1,Tirana,Sale,1826.923076923077
169000,SUPER APARTMENT 3+1+2 IN SPAK!,Rr. Jordan Misja ish Hipoteka,130.0,3,2,Tirana,Sale,1300.0
144000,1+1 apartment for sale Lake Thate,,70.0,1,1,Tirana,Sale,2057.1428571428573
105000,SPACIOUS APARTMENT FOR SALE 2+1+2+STORAGE IN FRESK €650 m2,,162.0,2,2,Tirana,Sale,648.1481481481482
57000,"1+1 APARTMENT FOR SALE NEAR THE POLICE HEADQUARTERS, DURRES!",Drejtoria e Policise,66.0,1,1,Durrës,Sale,863.6363636363636
95000,"APARTMENT FOR SALE 2+1+2 WITH SEA FRONT VIEW, ON THE BEACH!",,71.0,2,1,Durrës,Sale,1338.0281690140846
130000,"DIAMOND HILL RESORT , APARTAMENT PER SHITJE",Rruga '' Llambro Rexho '',70.0,2,1,Vlorë,Sale,1857.142857142857
125400,"1+1 APARTMENT FOR SALE, IN LUNGOMARE!",,92.0,1,1,Vlorë,Sale,1363.0434782608695
155000,"SHESHI WILLSON, SHITET APARTAMENT 2+1",,77.0,2,1,Tirana,Sale,2012.987012987013
220800,"We are selling 2+1+2t at ""White hill residence""!",White Hill Residence Currila,138.0,2,2,Durrës,Sale,1600.0
300,"1+1 APARTMENT FOR RENT, IN LUNGOMARE!",,67.0,1,1,Vlorë,Rent,4.477611940298507
300,"1+1 APARTMENT FOR RENT, IN LUNGOMARE!",,64.0,1,1,Vlorë,Rent,4.6875
245080,"APARTMENT FOR SALE 1+1, SARANDE",,122.54,1,1,Sarandë,Sale,2000.0
143720,"APARTMENT FOR SALE 1+1, SARANDE",,71.86,1,1,Sarandë,Sale,2000.0
156900,"APARTMENT FOR SALE 1+1, SARANDE",,78.45,1,1,Sarandë,Sale,2000.0
156500,"APARTMENT FOR SALE 1+1, SARANDE",,78.0,1,1,Sarandë,Sale,2006.4102564102564
248360,"APARTMENT FOR SALE 1+1, SARANDE",,124.18,1,1,Sarandë,Sale,2000.0
82041,"APARTMENT FOR SALE 1+1, SARANDE",,56.58,1,1,Sarandë,Sale,1450.0
143720,"APARTMENT FOR SALE 1+1, SARANDE",,71.86,1,1,Sarandë,Sale,2000.0
170000,We are selling a 2+1 apartment near the zoo!,Rr. Eduard Mano,108.0,2,1,Tirana,Sale,1574.0740740740741
95000,APARTMENT FOR SALE 2+1+2 IN DURRES,,156.0,2,2,Durrës,Sale,608.974358974359
142273,"APARTMENT FOR SALE 1+1, SARANDE",,83.69,1,1,Sarandë,Sale,1700.0
72000,2+1 APARTMENT FOR SALE NEAR DURRES MUNICIPALITY !,,85.0,2,1,Durrës,Sale,847.0588235294117
130000,2+1 APARTMENT FOR SALE AT KODRA E DIELLI!,,90.0,2,1,Tirana,Sale,1444.4444444444443
115000,2+1+2 APARTMENT FOR SALE IN DURRES!,,161.0,2,2,Durrës,Sale,714.2857142857143
134334,"APARTMENT FOR SALE 1+1, SARANDE",,79.02,1,1,Sarandë,Sale,1700.0
600,"APARTMENT FOR RENT 2+1+2 ""RRUGA E DIBRES""!",,86.0,2,2,Tirana,Rent,6.976744186046512
290000,3+1 DUPLEX APARTMENT FOR SALE AT KODRA E DIELLI,Selite,240.0,3,2,Tirana,Sale,1208.3333333333333
245000,2+1 APARTMENT FOR SALE AT ŽEKO IMPERIAL,,110.0,2,1,Tirana,Sale,2227.2727272727275
134334,"APARTMENT FOR SALE 1+1, SARANDE",,79.0,1,1,Sarandë,Sale,1700.4303797468353
143769,"APARTMENT FOR SALE 1+1, SARANDE",,84.57,1,1,Sarandë,Sale,1700.0000000000002
133904,"APARTMENT FOR SALE 1+1, SARANDE",,83.69,1,1,Sarandë,Sale,1600.0
126432,"APARTMENT FOR SALE 1+1, SARANDE",,79.02,1,1,Sarandë,Sale,1600.0
126432,"APARTMENT FOR SALE 1+1, SARANDE",,79.02,1,1,Sarandë,Sale,1600.0
135312,"APARTMENT FOR SALE 1+1, SARANDE",,84.57,1,1,Sarandë,Sale,1600.0000000000002
450,"APARTMENT FOR RENT 2+1+2 IN PORTI, DURRES",,94.0,2,2,Durrës,Rent,4.787234042553192
60924,"APARTMENT FOR SALE 1+1, SARANDE",,50.77,1,1,Sarandë,Sale,1200.0
110000,"Apartment and Shop for sale near the ""Aleks Buda"" Gymnasium in Laprake",,85.0,2,1,Tirana,Sale,1294.1176470588234
186000,"FOR SALE, APARTMENT 2+1+2, DRY LAKE!!",,124.0,2,2,Tirana,Sale,1500.0
116000,APARTMENT FOR SALE 2+1+2 NEAR THE TURN OF KAMZE,Kthesa e Kamzes. Perballe Terminalit te Autobuzave,108.0,2,2,Tirana,Sale,1074.0740740740741
120000,"Apartment 2+1+2 for sale, ""Njazi Meka"" street.","Rruga ""Njazi Meka""",109.0,2,2,Tirana,Sale,1100.9174311926606
99700,1+1 APARTMENT FOR SALE IN THE AURA COMPLEX!,Rruga Dritan Hoxha,77.0,1,1,Tirana,Sale,1294.8051948051948
148000,2+1 APARTMENT FOR SALE IN THE AURA COMPLEX!,Rruga Dritan Hoxha,123.0,2,2,Tirana,Sale,1203.2520325203252
198000,SUPER FURNISHED 2+1 APARTMENT FOR SALE IN SAN PIETRO RESIDENCE!,San Pietro,93.0,2,1,Durrës,Sale,2129.032258064516
110000,1+1 apartment for sale on 5 Maji Street,Rruga 5 Maji,75.0,1,1,Tirana,Sale,1466.6666666666667
82000,2+1 APARTMENT FOR SALE IN YZBERISH!,Yzberish,98.0,2,1,Tirana,Sale,836.734693877551
600,2+1 apartment for rent Near the Zoo!,Rr. Eduard Mano,100.0,2,1,Tirana,Rent,6.0
167376,"SARANDE, APARTMENT FOR SALE 2+1",,93.0,2,1,Sarandë,Sale,1799.741935483871
203566,"SARANDE, APARTMENT FOR SALE 2+1",,93.0,2,1,Sarandë,Sale,2188.8817204301076
43166,"EKSKLUZIVE! SHITET APARTAMENT 1+1 NE KOMPLEKSIN ME TE RI GOLEM! 650€/M2, MUNDESI PAGESE ME KESTE PER 2 VITE!",,66.0,1,1,Durrës,Sale,654.030303030303
43602,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,67.0,1,1,Durrës,Sale,650.776119402985
211000,1+1 APARTMENT FOR SALE AT LAKE VIEW!!!,,75.0,1,1,Tirana,Sale,2813.3333333333335
224000,1+1 APARTMENT FOR SALE AT LAKE VIEW!!!,,80.0,1,1,Tirana,Sale,2800.0
117166,"APARTMENT FOR SALE 1+1, SARANDE",,83.69,1,1,Sarandë,Sale,1400.0
110628,"APARTMENT FOR SALE 1+1, SARANDE",,79.02,1,1,Sarandë,Sale,1400.0
110628,"SARANDE, APARTMENT FOR SALE 1+1",,79.02,1,1,Sarandë,Sale,1400.0
400,1+1 APARTMENT FOR RENT IN GOLEM!!,,55.0,1,1,Durrës,Rent,7.2727272727272725
280000,LUXURY APARTMENT FOR SALE NEAR THE ZOO!,,127.0,2,2,Tirana,Sale,2204.7244094488187
350,1+1 apartment for rent in Ali Demi,Shkolla 1 Maji,54.0,1,1,Tirana,Rent,6.481481481481482
175000,2+1 apartment at Lake Dry,Liqeni i Thate,160.0,2,1,Tirana,Sale,1093.75
123900,"BARGAIN, APARTMENT FOR SALE 2+1+2, PORTA TIRANA NE!",,103.0,2,2,Tirana,Sale,1202.9126213592233
650,APARTMENT 2+1 FOR RENT NEAR SPRING SQUARE!,Sheshi Pranvera,80.0,2,1,Durrës,Rent,8.125
203000,"3+1+2 apartment for sale in Colombo Complex, Dry Lake!",Kompleksi Colombo,140.0,2,2,Tirana,Sale,1450.0
230000,3+1+2+Parking post apartment for sale in Lake Dry!,Liqeni i Thate,144.0,3,2,Tirana,Sale,1597.2222222222222
72000,1+1 APARTMENT FOR SALE ON KASHAR BOULEVARD,,68.0,1,1,Tirana,Sale,1058.8235294117646
500,APARTMENT 1+1 FOR RENT IN THE CENTER!,Rruga e Kavajes,50.0,1,1,Tirana,Rent,10.0
550,"APARTMENT FOR RENT 2+1, AT THE FORMER EXHIBITION",,71.0,2,1,Tirana,Rent,7.746478873239437
55000,"1+1 FOR SALE, RAILWAY BEACH!",,72.0,1,1,Durrës,Sale,763.8888888888889
125000,"APARTMENT FOR SALE 2+1 ON THE SIDE OF THE MAIN ROAD NEAR ALI DEMI FIELD, INVESTMENT OPPORTUNITY!!","Rr. Taulantia, Ali Demi",105.0,2,1,Tirana,Sale,1190.4761904761904
1500,APARTMENT FOR RENT 2+1+2 IN THE BLOCK,,110.0,2,2,Tirana,Rent,13.636363636363637
800,1+1 apartment for rent in the Delijorgji Complex!,Kompleksi Delijorgji,69.0,1,1,Tirana,Rent,11.594202898550725
85000,"APARTMENT FOR SALE 2+1+2, CABEJ BUILDING!",,92.0,2,2,Tirana,Sale,923.9130434782609
370000,"FOR SALE TWO APARTMENTS 1+1 AND APARTMENT 2+1, SARANDE",,164.0,3,2,Sarandë,Sale,2256.0975609756097
260000,2+1 APARTMENT FOR SALE IN THE CENTER OF TIRANA!!!,Kafe Flora,131.0,2,1,Tirana,Sale,1984.7328244274809
400,2+1 APARTMENT FOR RENT IN DURRES!!!,,65.0,2,1,Durrës,Rent,6.153846153846154
55000,"SARANDE, APARTMENT FOR SALE 1+1","Rruga ""Mitat Hoxha""",38.0,1,1,Sarandë,Sale,1447.3684210526317
1200,"At the Botanical Garden, Super Luxurious 2+1 Apartment for Rent!!!",,116.0,2,2,Tirana,Rent,10.344827586206897
550,2+1+2+garage apartment for rent in Myslym Shyr,,98.0,2,2,Tirana,Rent,5.612244897959184
68500,2+1 APARTMENT FOR SALE IN MALI TE ROBIT AREA,,70.0,2,1,Durrës,Sale,978.5714285714286
145000,"APARTMENT 3+1+2 AND GARAGE FOR SALE, NEAR THE ORTHODOX CHURCH!",,149.0,3,2,Vlorë,Sale,973.1543624161073
50168,"FOR SALE 1+1 APARTMENT NEAR THE SEA IN GOLEM, NEW BUILDING!",,63.0,1,1,Durrës,Sale,796.3174603174604
58488,"FOR SALE 1+1 APARTMENT NEAR THE SEA IN GOLEM, NEW BUILDING!",,73.0,1,1,Durrës,Sale,801.2054794520548
550,2+1 APARTMENT FOR RENT IN VOLLGA!,Vollga,130.0,2,2,Durrës,Rent,4.230769230769231
850,DUBLEX 3+1+3 ME QERA NE RRUGEN E ELBASANIT !,,152.0,3,3,Tirana,Rent,5.592105263157895
500,"RENT, APARTMENT 1+1, Street 5 MAJI!",,73.0,1,1,Tirana,Rent,6.8493150684931505
45552,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,70.0,1,1,Durrës,Sale,650.7428571428571
65000,Apartment 1+1 for sale in Iliria on the beach.,,85.0,1,1,Durrës,Sale,764.7058823529412
70000,APARTMENT 1+1 FOR SALE IN YZBERISH!,,70.0,1,1,Tirana,Sale,1000.0
45487,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,70.0,1,1,Durrës,Sale,649.8142857142857
45487,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,70.0,1,1,Durrës,Sale,649.8142857142857
150000,2+1 APARTMENT FOR SALE IN KERRET!,Qerret,85.0,2,1,Durrës,Sale,1764.7058823529412
300,APARTMENT FOR RENT 1+1+PARKING NEAR PANORAMA!!!,,67.0,1,1,Tirana,Rent,4.477611940298507
75000,1+1 for sale in Golem at Hotel Flower.,Prane Hotel Flower,59.4,1,1,Durrës,Sale,1262.6262626262626
145000,2+1 APARTMENT FOR SALE ON 5 MAJI STREET!!!,,111.0,2,1,Tirana,Sale,1306.3063063063064
72000,"APARTMENT FOR SALE 2+1+2 TOILETS, ON THE FIRST STATION BEACH!!",,112.0,2,2,Durrës,Sale,642.8571428571429
370000,"RR. E BARRIKADAVE, SHITET APARTAMENT 2+1",Rr. e Barrikadave,130.0,2,2,Tirana,Sale,2846.153846153846
900,"At the Botanical Garden, 2+1 Apartment for Rent with a Super View!!!",Kopshti Botanik,118.0,2,2,Tirana,Rent,7.627118644067797
1500,"At Fresku, Street Side Room for Rent!",Fresk,220.0,1,2,Tirana,Rent,6.818181818181818
95000,"STUDIO + SHOP FOR SALE, BARDHYL STREET, TIRANA",,54.0,1,1,Tirana,Sale,1759.2592592592594
130000,Apartment for sale 2+1+2 on the beach with sea view.,"lagjia 13, rruga pavaresia",110.0,2,2,Durrës,Sale,1181.8181818181818
80000,"2+1 APARTMENT FOR SALE NEAR PISHAT E BUTA, GOLEM!",Pishat e Buta,90.0,2,1,Durrës,Sale,888.8888888888889
110000,"APARTMENT FOR SALE 3+1+2 BALCONY ALEXANDER GOGA STREET, DURRES!!!",,184.0,3,1,Durrës,Sale,597.8260869565217
90048,"FOR SALE 1+1 NEW BUILDING, GOLEM!",,75.0,1,1,Durrës,Sale,1200.64
90048,"FOR SALE 1+1 NEW BUILDING, GOLEM!",,75.0,1,1,Durrës,Sale,1200.64
90456,"FOR SALE 1+1 NEW BUILDING, GOLEM!",,75.0,1,1,Durrës,Sale,1206.08
119735,"FOR SALE 1+1 NEW BUILDING, GOLEM!",,109.0,2,1,Durrës,Sale,1098.48623853211
82918,"FOR SALE 1+1 NEW BUILDING, GOLEM!",,75.0,1,1,Durrës,Sale,1105.5733333333333
103000,2+1 for sale in the center near the currency exchange.,,95.0,2,1,Durrës,Sale,1084.2105263157894
83160,"FOR SALE 1+1 NEW BUILDING, GOLEM!",,76.0,1,1,Durrës,Sale,1094.2105263157894
252000,"TIRANA LAKE, 2+1 APARTMENT FOR SALE",Kopshti Botanik,114.0,2,1,Tirana,Sale,2210.5263157894738
300000,"FOR SALE, MODERN APARTMENT 3+1+2, KODRA e DIELLIT RESIDENCE 2‼️",,157.0,3,2,Tirana,Sale,1910.8280254777071
175000,"APARTMENT FOR SALE 1+1 + PARKING POST AT ""MARINA BAY""!",Marina Bay,96.0,1,1,Vlorë,Sale,1822.9166666666667
192000,"For sale, Apartment 2+1, Myslym Shyri, Tirana",,160.0,2,2,Tirana,Sale,1200.0
350,APARTMENT FOR RENT 3+1+2 IN THE CENTER OF DURRES,prane shkolles Marie Kaculini,145.0,3,2,Durrës,Rent,2.413793103448276
64000,1+1 APARTMENT FOR SALE IN MALI TE ROBI AREA,,65.0,1,1,Durrës,Sale,984.6153846153846
250,1+1 APARTMENT FOR RENT NEAR SHKEMBI I KAVAJES !,,53.0,1,1,Durrës,Rent,4.716981132075472
200000,APARTMENT FOR SALE 2+1+2 +1 PARKING POST WITH SIDE VIEW FROM THE SEA IN SARANDE!,Sarande,110.0,2,2,Sarandë,Sale,1818.1818181818182
210000,APARTMENT FOR SALE 2+1+2+1 PARKING POST WITH SEA VIEW IN SARANDE!,,110.0,2,2,Sarandë,Sale,1909.090909090909
53000,SHITET APARTAMENT 1+1 TE ISH URT,,80.0,1,1,Durrës,Sale,662.5
145000,APARTMENT FOR SALE 3+1+2 IN THE CENTER OF DURRES,Prane shkolles Marie Kaculini,145.0,3,2,Durrës,Sale,1000.0
320,One bedroom apartment for rent in Fresku area,Rruga e Teleferikut,61.0,1,1,Tirana,Rent,5.245901639344262
230000,LUXURY APARTMENT 3+1+2 + VERANDA + 3 PARKING SPOTS!,Selitë,110.0,3,2,Tirana,Sale,2090.909090909091
80000,"APARTMENT FOR SALE 2+1 IN GOLEM 150M FROM THE SEA NEAR HOTEL ""FLOWER""",Golem,85.0,2,1,Durrës,Sale,941.1764705882352
190000,APARTMENT 1+1 FOR SALE ON THE FIRST LINE OF PALANCINA IN SAN PIETRO!,San Pietro,90.0,1,1,Durrës,Sale,2111.1111111111113
480,3+1 APARTMENT FOR RENT IN GINTASH BLOCK IN LAPRAKE,,137.0,3,2,Tirana,Rent,3.5036496350364965
170000,"1+1 APARTMENT FOR SALE NEAR SKENDERBEJ SQUARE, TIRANA!",,63.0,1,1,Tirana,Sale,2698.4126984126983
69500,"APARTMENT FOR SALE 2+1+2, ""VENATINO RESIDENCE"" KAMEZ",,107.0,2,2,Tirana,Sale,649.5327102803739
73000,"APARTMENT FOR SALE 2+1+2, ""VENATINO RESIDENCE"" KAMEZ",,112.0,2,2,Tirana,Sale,651.7857142857143
68500,"FOR SALE 1+1 APARTMENT WITH VERANDA, ""VENATINO RESIDENCE"" KAMEZ",,65.0,1,1,Tirana,Sale,1053.8461538461538
49500,"APARTMENT FOR SALE 1+1, ""VENATINO RESIDENCE"" KAMEZ (€680/m²)",,76.0,1,1,Tirana,Sale,651.3157894736842
198000,"Apartment 2+1 +2 for sale at the Magnet Complex, December 21!",Rruga Frosina Plaku,110.0,2,2,Tirana,Sale,1800.0
119000,"2+1 APARTMENT FOR SALE, AURA RESIDENCE, TIRANA!",,88.0,2,2,Tirana,Sale,1352.2727272727273
1000,"3+1 apartment for rent in the Panorama complex,",,135.0,3,2,Tirana,Rent,7.407407407407407
385000,Shesim apartament 3+1 tek Komuna e Parisit !,WHITE TOWER,199.0,3,2,Tirana,Sale,1934.6733668341708
800,OFFICE APARTMENT FOR RENT IN FRONT OF THE POLICE HEADQUARTERS,,68.0,3,2,Tirana,Rent,11.764705882352942
143000,APARTMENT 2+1+2 FOR SALE UNTIL MAY 5!!!,Rruga 5 Maji,110.0,2,2,Tirana,Sale,1300.0
79850,Apartment for sale at Rr. Hoxha Tahsim.,Prane Optika Roma.,72.0,1,1,Tirana,Sale,1109.0277777777778
120000,"APARTMENT 2+1 FOR SALE, NEAR ""KODRA DIELLIT 2"".",,97.0,2,1,Tirana,Sale,1237.1134020618556
350,1+1 OFFICE APARTMENT FOR RENT,Kryqezimi 21 Dhjetori,75.0,1,1,Tirana,Rent,4.666666666666667
1000,2+1 APARTMENT AT TOWER BRIDGE 3!!,,98.0,2,2,Tirana,Rent,10.204081632653061
450,APARTMENT FOR RENT 3+1+2 WITH 2 VERANDAS NEAR THE FRUIT AND VEGETABLE MARKET!!!,,150.0,3,2,Durrës,Rent,3.0
112500,SUPER APARTMENT 2+1+2 IN TRANSBALKAN,,150.0,2,2,Vlorë,Sale,750.0
650,"Apartment for rent 2+1+ Post Parking Commune of Paris - Kika Complex 2 Tirana, Albania",,113.0,2,2,Tirana,Rent,5.752212389380531
50500,"APARTMENT FOR SALE 1+1+VERANDE, ""VENATINO RESIDENCE"" KAMEZ",,71.0,1,1,Tirana,Sale,711.2676056338029
75000,"APARTMENT FOR SALE 2+1+2, ""VENATINO RESIDENCE"" KAMEZ",,115.0,2,2,Tirana,Sale,652.1739130434783
300,We offer 1+1 apartment for rent!,,50.0,1,1,Tirana,Rent,6.0
600,"1+1 APARTMENT FOR RENT IN VOLLGA, SEA VIEW!",,80.0,1,1,Durrës,Rent,7.5
475000,"3+1 APARTMENT FOR SALE IN SARANDE, FIRST LINE!!",Rruga e butrintit,190.0,2,3,Sarandë,Sale,2500.0
350,JEPET ME QIRA SUPER APARTAMENT 2+1 TEK ISH URT!,Ish URT,120.0,2,1,Durrës,Rent,2.9166666666666665
38146,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,59.0,1,1,Durrës,Sale,646.542372881356
40560,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,62.0,1,1,Durrës,Sale,654.1935483870968
47216,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,73.0,1,1,Durrës,Sale,646.7945205479452
45292,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",Golem,70.0,1,1,Durrës,Sale,647.0285714285715
400,Apartment for Rent 1+1 Former Aviation Field,,77.0,1,1,Tirana,Rent,5.194805194805195
300,Apartment for rent 1+1 Former Aviation Field,,63.0,1,1,Tirana,Rent,4.761904761904762
650,OFFICE FOR RENT NEAR THE FORMER TRAIN STATION,,130.0,3,2,Tirana,Rent,5.0
44000,"Apartments for sale, Kodra e Prifti",,42.0,1,1,Tirana,Sale,1047.6190476190477
209000,APARTMENT 3+1+2 FOR SALE IN KODRA E DIELLI RESIDENCE 1,,125.0,3,2,Tirana,Sale,1672.0
215000,2+1 APARTMENT FOR SALE IN THE RESIDENCE OF SAN PIETRO GJIRI I LALEZI!!!,,85.0,2,1,Durrës,Sale,2529.4117647058824
73500,"APARTMENT FOR SALE 2+1+2, ""VENATINO RESIDENCE"" KAMEZ (€680/m²)",,113.0,2,2,Tirana,Sale,650.4424778761062
53000,"APARTMENT FOR SALE 2+1, ""VENATINO RESIDENCE"" KAMEZ (€680/m²)",,82.0,2,1,Tirana,Sale,646.3414634146342
51000,"APARTMENT FOR SALE 1+1, ""VENATINO RESIDENCE"" KAMEZ (€680/m²)",,78.0,1,1,Tirana,Sale,653.8461538461538
49000,"APARTMENT FOR SALE 1+1, ""VENATINO RESIDENCE"" KAMEZ",,75.0,1,1,Tirana,Sale,653.3333333333334
68000,"1+1 APARTMENT FOR SALE ON THE ROCK OF KAVAJA, FIRST LINE!!!",,50.0,1,1,Durrës,Sale,1360.0
1000,"At the Botanical Garden, Super 2+1 for Rent with Parking Post!",Kopshti Botanik,98.0,2,1,Tirana,Rent,10.204081632653061
500,"APARTMENT 2+1 FOR RENT, NEAR THE MINISTRY OF JUSTICE!",,85.0,2,1,Tirana,Rent,5.882352941176471
140000,"2+1 apartment for sale, ""Njazi Meka"" street",,105.0,2,1,Tirana,Sale,1333.3333333333333
175000,Duplex for sale in Golem with sea view!,Golem,160.0,3,2,Durrës,Sale,1093.75
115000,APARTMENT FOR SALE IN KERRET!,,81.0,2,1,Durrës,Sale,1419.7530864197531
65000,First floor studio apartment with veranda for sale,Golem,44.0,1,1,Durrës,Sale,1477.2727272727273
900,"APARTMENT 3+1+2 FOR RENT FOR OFFICE OR RESIDENCE, IN ALI DEM!",,140.0,3,2,Tirana,Rent,6.428571428571429
92000,2+1 APARTMENT FOR SALE ON NOVEMBER 29 STREET!,,96.0,2,1,Tirana,Sale,958.3333333333334
78000,"COMPLEX ""COLOMBO"", APARTMENT FOR SALE 1+1","Kompleksi ""Kolombo"", Rruga ""Xhanfize Keko""",65.0,1,1,Tirana,Sale,1200.0
